ini,end,wsize,mid_win,id
4533751,4543751,10000,4538751,606
4541251,4551251,10000,4546251,607
4548751,4558751,10000,4553751,608
4556251,4566251,10000,4561251,609
4563751,4573751,10000,4568751,610
4571251,4581251,10000,4576251,611
4578751,4588751,10000,4583751,612
4586251,4596251,10000,4591251,613
4593751,4603751,10000,4598751,614
4601251,4611251,10000,4606251,615
4608751,4618751,10000,4613751,616
4616251,4626251,10000,4621251,617
4623751,4633751,10000,4628751,618
4631251,4641251,10000,4636251,619
4638751,4648751,10000,4643751,620
4646251,4656251,10000,4651251,621
4653751,4663751,10000,4658751,622
4661251,4671251,10000,4666251,623
4668751,4678751,10000,4673751,624
4676251,4686251,10000,4681251,625
4683751,4693751,10000,4688751,626
4691251,4701251,10000,4696251,627
4698751,4708751,10000,4703751,628
4706251,4716251,10000,4711251,629
4713751,4723751,10000,4718751,630
4721251,4731251,10000,4726251,631
4728751,4738751,10000,4733751,632
4736251,4746251,10000,4741251,633
4743751,4753751,10000,4748751,634
4751251,4761251,10000,4756251,635
4758751,4768751,10000,4763751,636
4766251,4776251,10000,4771251,637
4773751,4783751,10000,4778751,638
4781251,4791251,10000,4786251,639
4788751,4798751,10000,4793751,640
4796251,4806251,10000,4801251,641
4803751,4813751,10000,4808751,642
4811251,4821251,10000,4816251,643
4818751,4828751,10000,4823751,644
4826251,4836251,10000,4831251,645
4833751,4843751,10000,4838751,646
4841251,4851251,10000,4846251,647
4848751,4858751,10000,4853751,648
4856251,4866251,10000,4861251,649
4863751,4873751,10000,4868751,650
4871251,4881251,10000,4876251,651
4878751,4888751,10000,4883751,652
4886251,4896251,10000,4891251,653
4893751,4903751,10000,4898751,654
4901251,4911251,10000,4906251,655
4908751,4918751,10000,4913751,656
4916251,4926251,10000,4921251,657
4923751,4933751,10000,4928751,658
4931251,4941251,10000,4936251,659
4938751,4948751,10000,4943751,660
4946251,4956251,10000,4951251,661
4953751,4963751,10000,4958751,662
4961251,4971251,10000,4966251,663
4968751,4978751,10000,4973751,664
4976251,4986251,10000,4981251,665
4983751,4993751,10000,4988751,666
4991251,5001251,10000,4996251,667
4998751,5008751,10000,5003751,668
5006251,5016251,10000,5011251,669
5013751,5023751,10000,5018751,670
5021251,5031251,10000,5026251,671
5028751,5038751,10000,5033751,672
5036251,5046251,10000,5041251,673
5043751,5053751,10000,5048751,674
5051251,5061251,10000,5056251,675
5058751,5068751,10000,5063751,676
